Pollutant: Carbon monoxide (CO)
Daily means
Unit: mg/m3
Source: NABEL
The measured values for the current year are preliminary and not yet definitively verified.
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Dübendorf-Empa;Härkingen-A1;Payerne;Rigi-Seebodenalp;Jungfraujoch
01.01.2000;1.58;0.95;0.96;0.56;0.53;0.88;0.47;0.16;
02.01.2000;1.05;0.97;1.08;0.53;0.53;0.69;0.46;0.18;
03.01.2000;1.27;1.24;1.39;0.47;0.47;0.63;0.36;0.19;
04.01.2000;1.49;1.41;1.58;0.68;0.78;0.72;0.52;0.16;
05.01.2000;1.84;1.70;1.68;0.70;0.93;1.03;0.52;0.14;
06.01.2000;1.55;;1.22;0.54;0.61;0.75;0.45;0.15;
07.01.2000;1.71;1.45;1.51;0.83;0.99;1.00;0.47;0.14;
08.01.2000;1.74;1.31;1.26;0.72;0.77;0.99;0.64;0.18;
09.01.2000;1.67;1.22;1.26;0.62;0.68;1.04;0.71;0.15;
10.01.2000;1.31;0.94;1.50;0.73;0.58;0.63;0.57;0.37;
11.01.2000;1.12;0.78;1.55;0.62;0.51;0.56;0.49;0.50;
12.01.2000;1.65;1.25;1.48;0.67;0.48;0.60;0.49;0.36;
13.01.2000;1.97;1.52;1.15;0.62;0.79;0.90;0.53;0.19;
14.01.2000;1.59;1.69;1.36;0.98;0.81;0.95;0.72;0.18;
15.01.2000;1.39;1.35;1.20;0.76;0.86;0.64;0.65;0.58;
16.01.2000;1.13;0.61;0.89;0.51;0.46;0.46;0.42;0.45;
17.01.2000;2.20;1.58;1.13;0.79;0.85;0.86;0.52;0.24;
18.01.2000;1.59;1.31;0.27;0.55;0.47;0.62;0.43;0.21;
19.01.2000;1.35;0.37;0.53;0.59;0.66;0.44;0.32;0.22;
20.01.2000;1.85;1.02;1.30;0.86;0.86;0.73;0.48;0.25;
21.01.2000;1.91;0.69;0.87;0.48;0.43;0.69;0.45;0.21;
22.01.2000;1.04;1.06;0.80;0.47;0.40;0.57;0.34;0.20;
23.01.2000;0.66;0.92;0.59;0.51;0.37;0.48;0.28;0.22;
24.01.2000;0.71;0.53;0.99;0.46;0.42;0.39;0.34;0.34;
25.01.2000;1.03;0.72;0.51;0.66;0.60;0.68;0.50;0.39;
26.01.2000;1.75;1.16;1.07;1.03;1.06;1.14;0.73;0.21;
27.01.2000;1.75;1.38;1.30;0.97;1.24;1.27;0.66;;
28.01.2000;2.21;1.70;1.45;1.19;1.82;1.13;0.79;;
29.01.2000;1.34;1.33;1.46;0.38;0.36;0.56;0.32;0.17;
30.01.2000;0.47;0.70;0.67;0.26;0.21;;0.21;0.16;
31.01.2000;1.87;1.73;1.70;0.64;0.63;;0.34;0.16;
01.02.2000;2.20;2.15;1.24;1.35;1.58;0.78;0.56;0.12;
02.02.2000;2.25;1.44;1.37;;1.65;1.16;0.75;0.16;
03.02.2000;2.05;0.69;1.23;0.71;0.74;0.52;0.36;0.24;0.12
04.02.2000;2.02;1.50;1.21;1.11;1.22;0.91;0.47;0.22;0.11
05.02.2000;1.70;1.70;1.28;1.02;1.31;1.12;0.67;0.18;0.11
06.02.2000;2.25;1.91;1.30;1.13;1.39;1.21;0.64;0.14;0.10
07.02.2000;1.03;1.13;1.52;0.56;0.71;0.64;0.32;0.22;0.11
08.02.2000;0.80;1.05;1.30;0.33;0.28;0.28;0.24;0.16;0.10
09.02.2000;0.73;0.85;0.82;0.37;0.30;0.33;0.23;0.18;0.12
10.02.2000;1.37;1.25;0.85;0.59;0.68;0.61;0.36;0.19;0.11
11.02.2000;1.22;0.84;1.16;0.46;0.40;0.40;0.30;0.25;0.10
12.02.2000;0.78;0.94;1.02;0.50;0.44;0.61;0.30;0.29;0.12
13.02.2000;1.18;0.89;0.82;0.38;0.32;0.38;0.29;0.19;0.11
14.02.2000;1.26;1.18;1.49;0.64;0.70;0.71;0.39;0.20;0.13
15.02.2000;1.20;1.12;1.36;0.41;0.41;0.46;0.29;0.20;0.11
16.02.2000;0.61;0.83;1.14;0.35;0.29;0.31;0.20;0.18;0.11
17.02.2000;0.78;0.98;0.53;0.46;0.44;0.37;0.24;0.20;0.13
18.02.2000;1.50;1.11;0.95;0.41;0.45;0.40;0.27;0.19;0.11
19.02.2000;0.58;0.81;0.60;0.36;0.26;0.39;0.22;0.18;0.13
20.02.2000;0.85;0.49;0.49;0.46;0.34;0.39;0.28;0.25;0.16
21.02.2000;1.42;0.71;0.52;0.52;0.56;0.66;0.36;0.23;0.10
