Pollutant: Non-methane volatile organic compounds (NMVOC)
Daily means
Unit: ppm
Source: NABEL
The measured values for the current year are preliminary and not yet definitively verified.
Date/time;Lugano-Università;Zürich-Kaserne;Dübendorf-Empa
01.01.2000;0.3;0.1;0.1
02.01.2000;0.3;0.0;0.1
03.01.2000;0.4;0.0;0.1
04.01.2000;0.5;0.1;0.2
05.01.2000;0.6;0.1;0.2
06.01.2000;0.4;0.1;0.1
07.01.2000;0.5;0.2;0.2
08.01.2000;0.4;0.2;0.1
09.01.2000;0.3;0.1;0.1
10.01.2000;0.4;0.2;0.1
11.01.2000;0.4;0.1;0.1
12.01.2000;0.4;0.1;0.1
13.01.2000;0.3;0.1;0.2
14.01.2000;0.4;0.2;0.2
15.01.2000;0.4;0.2;0.2
16.01.2000;0.2;0.1;0.1
17.01.2000;0.3;0.2;0.2
18.01.2000;0.1;0.1;0.1
19.01.2000;0.2;0.2;0.2
20.01.2000;0.4;0.2;0.2
21.01.2000;0.3;0.1;0.1
22.01.2000;0.2;0.1;0.1
23.01.2000;0.2;0.1;0.0
24.01.2000;0.3;0.1;0.1
25.01.2000;0.1;0.1;0.1
26.01.2000;0.3;0.2;0.2
27.01.2000;0.4;0.2;0.3
28.01.2000;0.4;0.3;0.4
29.01.2000;0.4;0.0;0.1
30.01.2000;0.2;0.0;0.0
31.01.2000;0.5;0.1;0.1
01.02.2000;0.4;0.4;0.4
02.02.2000;0.5;;0.4
03.02.2000;0.4;0.2;0.2
04.02.2000;0.4;0.3;0.3
05.02.2000;0.4;0.2;0.3
06.02.2000;0.3;0.3;0.3
07.02.2000;0.4;0.1;0.1
08.02.2000;0.4;0.0;0.0
09.02.2000;0.3;0.1;0.0
10.02.2000;0.3;0.1;0.1
11.02.2000;0.4;0.1;0.0
12.02.2000;0.3;0.1;0.1
13.02.2000;0.2;0.1;0.0
14.02.2000;0.5;0.1;0.1
15.02.2000;0.4;0.1;0.1
16.02.2000;0.3;0.1;0.0
17.02.2000;0.2;0.1;0.1
18.02.2000;0.3;0.1;0.1
19.02.2000;0.2;0.0;0.0
20.02.2000;0.1;0.1;0.0
21.02.2000;0.1;0.1;0.1
22.02.2000;0.2;0.1;0.1
23.02.2000;0.3;0.1;0.2
24.02.2000;0.3;0.1;0.1
25.02.2000;0.4;;0.0
26.02.2000;0.3;;0.1
27.02.2000;0.3;;0.1
28.02.2000;0.4;0.1;0.1
29.02.2000;0.4;0.1;0.1
01.03.2000;0.3;0.1;0.0
