Pollutant: Nitrogen dioxide (NO2)
Daily means
Unit: ug/m3
Source: NABEL
The measured values for the current year are preliminary and not yet definitively verified.
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Chaumont;Rigi-Seebodenalp;Davos-Seehornwald;Jungfraujoch
01.01.2000;50.2;51.3;50.3;44.4;38.6;34.2;39.0;55.0;37.1;22.1;16.5;;2.0;3.0;5.8;0.1
02.01.2000;38.2;44.4;52.8;37.8;28.5;33.8;29.6;54.7;39.0;19.0;17.1;;2.3;4.9;2.3;0.1
03.01.2000;44.1;50.8;54.1;35.8;23.6;31.8;45.3;66.6;46.5;22.7;19.2;;5.6;5.6;2.2;0.1
04.01.2000;47.7;60.5;54.1;53.3;45.4;50.2;53.0;71.0;49.1;33.3;14.2;;4.1;4.1;3.0;0.1
05.01.2000;54.0;;56.0;55.5;51.5;44.5;55.3;67.9;41.8;38.0;17.1;;3.0;3.8;2.0;0.1
06.01.2000;43.9;;46.5;43.6;40.9;41.7;48.1;70.4;36.3;31.8;30.3;;4.8;3.5;2.9;0.1
07.01.2000;51.2;58.1;50.3;55.9;42.1;50.2;44.0;68.1;42.7;29.7;35.9;;2.9;3.5;2.7;0.1
08.01.2000;50.7;60.6;50.5;58.6;42.0;48.7;37.5;66.9;38.6;38.3;27.3;;6.3;4.6;3.3;0.1
09.01.2000;48.9;61.2;51.1;55.1;42.7;46.7;33.6;66.0;35.4;35.8;20.0;;6.4;2.9;3.7;0.1
10.01.2000;41.7;42.0;57.3;48.4;34.3;47.1;40.6;61.2;41.0;32.0;27.8;;11.2;20.9;6.2;0.1
11.01.2000;39.9;36.6;73.5;38.9;41.3;38.6;34.8;61.3;41.2;37.9;25.1;;24.9;34.5;3.8;0.1
12.01.2000;44.2;47.7;75.3;42.5;36.5;37.8;33.8;67.8;49.1;29.4;24.1;;18.7;22.9;2.4;
13.01.2000;55.1;56.3;81.3;43.3;43.2;40.6;47.5;73.7;57.6;34.1;24.0;;17.3;6.2;2.2;
14.01.2000;57.1;62.8;60.6;54.1;50.0;48.3;45.2;73.3;48.4;40.7;41.9;;12.3;3.6;3.6;
15.01.2000;53.4;53.7;52.3;52.1;46.3;48.6;42.2;63.7;46.3;47.1;45.4;;11.0;41.1;3.1;0.2
16.01.2000;42.9;33.9;49.2;29.9;42.0;27.4;22.9;55.2;38.3;23.0;24.0;;12.1;26.8;5.9;0.1
17.01.2000;58.8;49.6;54.8;52.4;39.1;47.1;51.8;57.0;41.8;33.4;26.6;;6.6;8.3;2.0;0.1
18.01.2000;53.7;51.9;20.1;46.4;20.6;41.3;47.8;62.7;4.9;31.7;23.3;;10.6;10.5;4.8;0.6
19.01.2000;58.5;28.4;39.0;48.3;45.2;44.4;35.4;59.3;8.4;21.2;17.9;;6.3;11.5;5.0;0.4
