Pollutant: Nitrogen oxides (NOX)
Daily means
Unit: ug/m3 eq. NO2
Source: NABEL
The measured values for the current year are preliminary and not yet definitively verified.
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Chaumont;Rigi-Seebodenalp;Davos-Seehornwald;Jungfraujoch
01.01.2000;177.9;112.8;93.3;53.2;60.3;41.6;107.1;140.6;98.1;24.6;18.3;;2.8;3.6;7.3;0.1
02.01.2000;123.3;106.1;107.8;54.5;38.8;53.7;68.5;150.8;91.8;22.8;21.4;;3.0;5.6;2.9;0.1
03.01.2000;178.0;140.4;145.0;45.2;26.3;37.2;184.1;228.2;192.6;25.4;23.5;;6.7;6.7;2.8;0.1
04.01.2000;203.1;168.1;166.9;83.3;75.8;83.0;219.2;266.8;244.3;42.0;16.0;;5.2;4.7;3.7;0.1
05.01.2000;272.6;;190.6;90.0;133.5;96.0;307.5;222.5;210.9;57.2;21.0;;3.9;4.5;2.6;0.1
06.01.2000;211.7;;131.1;58.4;66.3;56.6;194.0;249.9;169.0;37.8;42.1;;6.5;4.2;3.5;0.1
07.01.2000;227.2;167.5;166.9;111.8;115.3;102.7;268.7;244.5;198.5;36.0;57.0;;3.8;4.0;3.3;0.1
08.01.2000;200.0;152.0;126.5;82.8;88.5;72.1;152.7;228.8;153.2;47.3;42.1;;7.8;5.4;4.0;0.1
09.01.2000;179.5;131.5;116.8;74.1;68.2;69.1;126.3;197.3;121.7;46.6;24.7;;7.6;3.6;4.3;0.1
10.01.2000;183.6;102.7;166.1;114.0;42.2;81.0;189.8;186.7;202.9;42.6;37.2;;12.8;26.1;7.1;0.1
11.01.2000;159.5;82.7;183.6;67.3;82.3;70.8;119.2;146.8;183.2;50.0;32.0;;32.8;51.0;4.5;0.1
12.01.2000;221.1;143.4;183.4;83.5;55.8;53.9;138.3;217.9;171.6;40.8;28.9;;21.8;25.2;3.0;
13.01.2000;249.6;162.8;150.5;73.9;70.0;87.1;293.0;252.2;157.4;43.3;33.4;;19.6;7.2;2.9;
14.01.2000;219.1;186.2;158.0;140.2;92.5;112.3;161.2;223.3;88.6;81.4;68.0;;14.1;4.2;4.4;
15.01.2000;171.4;137.0;124.1;89.4;73.5;103.7;62.9;215.6;121.1;58.0;65.1;;13.7;56.1;3.8;0.2
16.01.2000;120.2;49.1;83.2;38.8;54.1;33.9;25.6;88.3;99.2;24.4;27.7;;13.7;30.3;6.8;0.1
17.01.2000;291.1;176.8;133.5;104.6;103.1;96.8;306.6;146.2;90.8;55.3;34.1;;7.6;9.1;2.4;0.1
18.01.2000;224.0;163.7;29.9;69.3;21.3;56.7;196.9;175.2;5.1;50.8;26.2;;11.9;11.5;5.4;0.6
19.01.2000;204.7;43.4;70.2;82.0;57.0;100.5;104.6;198.8;9.0;24.4;21.1;;7.4;13.1;5.7;0.4
20.01.2000;256.9;117.9;175.9;141.2;75.0;139.6;261.2;206.0;144.0;57.2;37.9;;11.8;12.2;5.2;
21.01.2000;256.5;81.7;103.6;48.3;15.9;40.5;187.5;172.8;67.0;40.4;21.9;;8.4;8.2;10.3;
22.01.2000;123.0;108.4;94.3;42.7;13.7;31.9;81.8;159.6;36.8;20.3;16.4;;8.6;6.8;6.2;
23.01.2000;62.1;92.7;52.5;53.9;15.9;31.8;58.0;36.1;26.6;14.8;16.0;;4.9;7.9;5.4;
24.01.2000;92.9;53.9;131.4;39.3;40.0;45.8;27.7;96.0;24.8;20.1;33.5;;13.9;21.7;6.2;
25.01.2000;124.6;63.5;77.9;69.3;55.8;71.1;96.6;124.6;39.0;36.3;51.6;;16.7;25.0;3.8;0.1
26.01.2000;235.1;130.6;128.5;156.6;89.5;156.9;330.6;172.5;130.9;60.6;;;9.0;7.7;3.7;0.1
27.01.2000;228.5;160.4;158.1;140.9;136.2;152.1;359.9;189.8;162.0;50.6;;;6.0;;3.3;0.1
28.01.2000;280.2;205.4;186.9;190.9;161.9;293.8;323.0;240.3;160.0;81.4;79.8;;5.7;;4.3;0.1
29.01.2000;158.0;135.7;157.1;32.2;18.4;35.2;88.3;164.0;154.0;24.5;14.3;;5.3;5.9;4.3;0.1
30.01.2000;45.1;70.4;66.6;20.0;12.9;14.8;;140.7;51.5;11.8;8.1;;3.0;5.7;3.6;0.2
31.01.2000;255.0;205.5;230.2;90.9;34.2;82.1;;201.1;151.7;33.4;14.0;;4.2;8.4;5.8;0.1
01.02.2000;295.2;251.6;173.1;265.5;122.6;248.9;305.0;209.7;171.3;66.9;58.5;;5.6;5.5;3.5;0.0
