Pollutant: Ozone (O3)
Maximum hourly mean
Unit: ug/m3
Source: NABEL
The measured values for the current year are preliminary and not yet definitively verified.
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Chaumont;Rigi-Seebodenalp;Davos-Seehornwald;Jungfraujoch
01.01.2000;22.4;31.1;56.8;38.0;12.6;42.3;31.7;26.7;41.2;45.6;68.4;;71.0;83.8;67.0;74.0
02.01.2000;25.0;34.8;37.2;34.7;43.3;37.2;35.0;;46.0;53.1;67.8;;80.0;82.0;76.5;67.8
03.01.2000;41.4;37.6;29.3;42.5;56.9;48.2;40.2;27.7;38.6;50.1;53.7;;83.5;89.7;75.2;67.7
04.01.2000;18.1;34.6;39.4;30.5;33.8;32.1;16.3;24.5;20.0;32.4;71.8;;83.1;91.2;74.8;73.5
05.01.2000;15.0;;23.5;33.4;12.8;31.8;11.1;22.5;34.6;56.7;72.7;;75.0;81.8;78.9;74.0
06.01.2000;11.0;;15.8;19.9;17.5;16.5;8.4;16.7;31.4;42.2;30.8;;76.1;88.5;81.0;71.0
07.01.2000;11.9;11.9;25.4;14.2;3.5;21.3;9.1;23.8;22.5;38.2;26.6;;78.3;87.1;78.5;60.9
08.01.2000;14.7;14.3;32.7;39.5;21.3;46.6;14.5;17.5;47.9;43.6;66.7;;79.3;84.4;78.8;86.1
09.01.2000;17.3;19.6;21.0;24.9;15.7;35.9;3.0;22.5;31.4;22.9;71.4;;76.8;85.9;78.3;75.2
10.01.2000;6.3;13.9;18.7;21.1;40.2;10.6;17.0;23.0;39.2;25.7;20.1;;45.1;84.2;64.1;61.9
11.01.2000;3.5;13.8;24.2;13.5;18.1;19.0;16.5;33.8;36.4;10.8;25.6;;50.4;26.8;69.4;91.0
12.01.2000;13.5;17.8;12.1;13.8;24.4;19.4;19.1;32.1;15.2;44.1;32.5;;43.8;18.3;74.1;104.4
13.01.2000;11.7;22.5;9.0;41.7;22.4;38.7;21.5;38.4;14.0;;44.2;;59.9;88.7;78.7;72.0
14.01.2000;20.0;26.6;21.2;13.2;24.0;20.7;11.6;35.0;36.8;45.7;18.2;;93.9;91.9;78.5;71.7
15.01.2000;10.7;15.3;51.6;18.0;17.4;23.9;26.1;27.0;44.2;27.6;21.6;;93.8;75.7;72.8;70.9
16.01.2000;31.4;35.8;50.0;36.2;18.9;32.6;34.0;19.8;51.1;50.8;34.5;;88.1;53.6;73.5;77.5
17.01.2000;13.5;30.0;52.7;23.6;34.9;22.9;24.8;38.5;61.8;43.9;;;85.2;80.8;78.7;77.0
18.01.2000;19.1;32.2;73.2;27.1;46.1;29.6;53.9;16.0;86.4;46.9;41.5;;63.4;68.5;62.0;63.4
19.01.2000;26.3;57.0;69.0;49.6;55.4;59.4;57.5;39.8;85.1;72.0;62.2;;78.0;77.5;68.3;68.3
20.01.2000;24.3;46.4;39.6;32.5;51.8;40.0;37.7;38.1;56.3;57.7;60.8;;72.5;77.1;74.8;72.6
21.01.2000;16.8;45.6;72.7;33.7;59.5;42.8;19.1;33.3;89.3;58.2;51.1;;69.2;73.4;66.5;72.2
22.01.2000;34.5;28.2;42.8;41.6;67.0;47.3;41.7;17.4;73.7;53.6;57.5;;68.8;72.1;64.0;76.8
23.01.2000;45.9;36.9;68.4;45.2;58.8;54.3;44.3;61.2;79.7;61.5;60.1;;73.0;73.0;64.2;57.4
24.01.2000;40.3;51.0;54.0;53.4;51.4;56.7;63.7;45.6;80.1;73.2;62.3;;75.2;58.5;71.9;74.0
25.01.2000;37.2;38.1;58.3;46.2;54.8;51.8;55.5;46.5;69.6;52.7;52.3;;81.8;59.2;93.1;73.9
26.01.2000;14.0;28.2;38.0;19.0;28.5;31.3;17.4;50.3;64.3;54.2;;;100.0;98.3;85.6;77.8
27.01.2000;25.9;19.6;33.8;20.6;22.2;33.6;15.2;50.5;60.8;55.2;;;103.0;;85.1;76.3
28.01.2000;11.0;19.9;41.1;27.7;16.5;12.6;9.3;38.6;61.3;40.2;81.4;;92.7;;84.8;80.5
29.01.2000;51.3;41.1;13.6;77.9;86.7;80.0;71.6;12.1;28.5;79.7;88.5;;91.8;97.3;85.0;81.4
30.01.2000;64.1;46.7;71.2;72.0;80.1;73.2;;8.7;64.6;73.2;73.5;;83.9;80.5;72.2;75.8
31.01.2000;61.7;27.2;18.2;69.4;80.4;74.7;;26.0;38.5;63.1;79.0;;85.7;75.3;61.4;74.1
