Pollutant: Precipitation (PREC)
Daily sums
Unit: mm
Source: NABEL/MeteoSchweiz
The measured values for the current year are preliminary and not yet definitively verified.
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Chaumont;Rigi-Seebodenalp;Davos-Seehornwald;Jungfraujoch
01.01.2000;;;0.0;1.5;0.3;1.1;0.7;0.0;0.0;0.0;0.9;;0.0;0.9;1.6;
02.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;;0.0;0.1;0.0;
03.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;
04.01.2000;;;0.0;1.0;1.0;1.0;1.3;0.0;0.0;0.2;1.2;;0.5;0.0;;
05.01.2000;;;0.0;1.2;3.2;2.5;2.4;0.0;0.0;0.1;4.2;;1.9;2.5;0.0;
06.01.2000;;;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
07.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
08.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
09.01.2000;;;0.0;2.9;6.0;1.7;2.5;0.0;0.0;0.0;1.1;;0.1;2.5;0.0;
10.01.2000;;;0.0;1.3;1.4;0.8;1.0;0.0;0.0;0.4;1.8;;0.8;1.8;0.0;
11.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
12.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
13.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
14.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
15.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
16.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
17.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.2;
18.01.2000;;;0.0;0.2;0.3;0.3;0.2;0.0;0.0;0.3;0.0;;1.2;0.0;4.5;
19.01.2000;;;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.2;2.9;0.1;
20.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
21.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;;0.1;0.0;0.5;
22.01.2000;;;0.0;4.2;0.8;1.9;2.8;0.8;0.0;0.7;3.1;;4.9;2.8;2.1;
23.01.2000;;;0.0;3.2;3.4;2.0;10.8;0.1;0.0;0.3;3.2;;1.5;4.3;0.3;
24.01.2000;;;0.0;0.4;1.4;0.0;1.2;0.0;0.0;0.1;1.2;;0.0;3.7;0.8;
25.01.2000;;;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
26.01.2000;;;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
27.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.1;;0.0;
28.01.2000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;
29.01.2000;;;0.0;3.4;1.3;3.6;8.5;5.3;0.0;0.7;7.4;;8.1;0.0;3.0;
