Pollutant: Global radiation (RAD)
Daily means
Unit: W/m2
Source: NABEL/MeteoSchweiz
The measured values for the current year are preliminary and not yet definitively verified.
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Chaumont;Rigi-Seebodenalp;Davos-Seehornwald;Jungfraujoch
01.01.2000;;48.1;61.8;21.1;19.8;23.4;40.4;35.8;54.1;41.5;28.3;;44.8;31.7;48.4;37.7
02.01.2000;;69.0;57.2;16.0;24.6;18.2;29.8;44.1;56.4;43.9;25.4;;52.3;57.7;75.3;49.1
03.01.2000;;54.4;69.6;25.9;49.8;42.6;29.0;54.9;67.5;55.2;37.0;;75.8;53.0;76.5;98.1
04.01.2000;;73.6;70.8;60.5;63.0;66.9;29.2;55.1;68.5;32.1;68.7;;79.5;59.4;77.9;89.8
05.01.2000;;40.6;62.8;24.0;50.8;25.2;42.4;46.2;64.3;32.0;27.2;;63.2;22.8;51.8;80.4
06.01.2000;;;63.5;32.4;56.0;27.6;20.2;47.9;65.5;21.6;33.8;;62.7;48.7;72.8;68.3
07.01.2000;;73.1;56.9;51.0;19.8;57.2;43.1;56.4;61.8;38.5;49.8;;42.5;57.8;76.3;88.8
08.01.2000;;41.0;68.5;60.0;53.9;66.4;29.0;48.5;69.3;34.8;65.5;;68.6;58.7;78.6;81.2
09.01.2000;;35.5;42.3;16.4;11.4;16.7;19.9;45.5;41.4;33.5;19.0;;37.6;31.4;49.4;42.8
10.01.2000;;10.0;59.0;9.3;6.5;12.7;25.4;54.4;64.9;14.9;15.2;;30.5;17.9;36.4;47.8
11.01.2000;;13.9;58.9;9.4;6.2;12.8;20.2;61.7;62.0;11.6;12.8;;29.2;19.4;81.0;109.7
12.01.2000;;79.3;39.4;7.5;9.8;11.2;15.0;62.5;54.1;56.3;13.8;;31.0;19.6;84.0;94.7
13.01.2000;;79.1;13.2;47.9;66.2;48.8;56.8;64.4;14.6;69.4;55.4;;53.8;64.5;86.4;95.4
14.01.2000;;79.5;44.5;64.7;69.0;55.5;27.9;65.4;59.2;71.1;29.4;;86.9;65.5;85.7;96.1
15.01.2000;;61.9;72.5;25.6;51.4;28.6;76.0;64.5;78.2;27.5;31.8;;87.4;28.1;84.3;85.1
16.01.2000;;18.1;67.8;13.7;22.9;17.3;18.1;20.0;71.3;22.4;13.6;;22.3;23.8;88.5;98.2
17.01.2000;;76.3;32.8;23.9;31.0;27.2;50.1;63.4;40.9;72.5;27.8;;70.2;42.0;37.3;98.7
18.01.2000;;42.1;60.0;11.3;18.6;17.4;50.9;41.6;54.5;32.5;19.1;;25.4;16.8;24.5;16.5
19.01.2000;;85.3;82.4;25.3;37.7;31.1;46.5;70.9;85.7;72.8;49.5;;71.6;26.7;81.3;82.8
20.01.2000;;83.6;78.4;66.1;52.8;68.2;85.7;72.2;83.6;77.7;64.5;;93.1;63.4;95.8;66.2
21.01.2000;;43.0;85.6;9.6;17.9;7.3;18.0;67.2;87.2;29.6;14.8;;38.0;13.9;28.5;52.2
22.01.2000;;9.8;74.8;10.8;9.5;11.9;15.9;28.8;74.7;19.1;17.9;;21.8;9.3;56.2;47.9
23.01.2000;;25.0;91.0;19.8;33.1;28.6;40.0;56.0;68.8;27.3;33.5;;33.5;11.9;48.7;34.2
