"model_id","size","decay","maxit","accuracy","sensitivity","specificity","auc"
"nn_10",25,0.05,1000,0.8246,0.8257,0.8234,0.9145
"nn_08",20,0.01,1000,0.8199,0.8268,0.8131,0.9069
"nn_09",20,0.1,1000,0.8164,0.828,0.8048,0.9049
"nn_06",15,0.01,700,0.8089,0.8034,0.8144,0.8961
"nn_07",15,0.05,700,0.7958,0.8168,0.7748,0.883
"nn_04",10,0.005,500,0.7997,0.8207,0.7786,0.881
"nn_05",12,0.01,500,0.7943,0.7957,0.7929,0.8799
"nn_03",8,0.001,500,0.7845,0.7935,0.7755,0.8657
"nn_02",5,0.001,300,0.774,0.7738,0.7742,0.8506
"nn_01",3,1e-04,300,0.7708,0.801,0.7405,0.8432
